tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status
4.23472222222223,0.0,0.0,0
4.23472222222223,0.0,0.0,0
4.23472222222223,0.0,0.0,0
4.23472222222223,0.0,0.0,0
4.23472222222223,0.0,0.0,0
4.17800925925926,0.0,0.113425925925926,0
4.17800925925926,0.0,0.113425925925926,0
4.17800925925926,0.0,0.113425925925926,0
4.16666666666667,0.0,0.113425925925926,0
4.15532407407408,0.0,0.136111111111111,0
4.14398148148148,0.0,0.136111111111111,0
4.14398148148148,0.0,0.136111111111111,0
4.14398148148148,0.0,0.136111111111111,0
4.14398148148148,0.0,0.136111111111111,0
4.14398148148148,0.0,0.136111111111111,0
4.07592592592593,0.0,0.249537037037037,0
4.07592592592593,0.0,0.249537037037037,0
4.07592592592593,0.0,0.249537037037037,0
4.07592592592593,0.0,0.249537037037037,0
4.07592592592593,0.0,0.249537037037037,0
4.07592592592593,0.0,0.249537037037037,0
4.07592592592593,0.0,0.249537037037037,0
4.06458333333333,0.0,0.249537037037037,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.97384259259259,0.0,0.294907407407407,0
3.9625,0.0,0.294907407407407,0
3.9625,0.0,0.294907407407407,0
3.9625,0.0,0.294907407407407,0
3.82638888888889,0.0,0.567129629629629,0
3.81504629629629,0.0,0.589814814814815,0
3.81504629629629,0.0,0.589814814814815,0
3.81504629629629,0.0,0.589814814814815,0
3.81504629629629,0.0,0.589814814814815,0
3.81504629629629,0.0,0.589814814814815,0
3.81504629629629,0.0,0.589814814814815,0
3.79236111111111,0.0,0.589814814814815,0
3.79236111111111,0.0,0.589814814814815,0
3.79236111111111,0.0,0.589814814814815,0
3.79236111111111,0.0,0.589814814814815,0
3.79236111111111,0.0,0.589814814814815,0
3.78101851851852,0.0,0.589814814814815,0
3.76967592592592,0.0,0.589814814814815,0
3.76967592592592,0.0,0.589814814814815,0
3.76967592592592,0.0,0.589814814814815,0
3.76967592592592,0.0,0.589814814814815,0
3.76967592592592,0.0,0.589814814814815,0
3.76967592592592,0.0,0.589814814814815,0
3.56550925925925,0.0,0.0,0
3.55416666666666,0.0,0.0,0
3.54282407407407,0.0,0.0,0
3.54282407407407,0.0,0.0,0
3.54282407407407,0.0,0.0,0
